Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_21Bit_brokenLowSurrogate,760068.22,758954.317,764602.336,761197.773,763413.954,752908.363,751139.412,760122.842,759085.445,757656.274,754064.757,760310.428,759357.666,753428.2,755691.258,756804.811,762782.625,756809.108,766514.388,764225.886,759683.516,754414.159,762041.793,757018.322,751312.438,753129.243,754363.805,753766.057,761655.292,759943.697,0.548360234
zipkin2.storage.StrictTraceIdTest._Benchmark.benchmark_filterSpans,593099.343,591095.588,587602.11,595339.954,593891.023,590777.268,590183.469,596098.614,597341.251,597049.35,595147.332,590002.526,590502.473,587063.024,594114.549,591211.581,587335.45,591731.719,593002.091,590303.344,593015.32,589076.854,591626.254,592587.844,596636.439,595557.565,593826.075,599373.712,597825.795,595374.064,0.546534189
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_byteBuffer_arrayOffset,775466.594,773383.019,775540.435,776634.93,777057.366,776455.399,776781.121,776119.238,777389.043,773049.423,770000.132,771937.522,772090.537,766259.082,770312.776,767926.091,771870.124,768448.177,765600.649,771206.221,770855.486,769222.305,771144.009,767974.774,762829.291,762479.259,765804.378,772817.088,769481.103,768486.868,0.544314703
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_field_skipValue_VARINT,635429.174,629507.045,634368.11,641104.828,633450.216,633142.685,635366.394,642022.637,634502.898,631830.258,632597.879,631837.421,629668.603,639080.84,637997.954,627854.787,633272.472,630602.681,639993.231,630971.722,633979.907,633777.823,636472.881,632027.308,636005.337,637198.618,636118.881,631120.901,634105.537,633782.889,0.541021327
zipkin2.v1.V1SpanTest._Benchmark.benchmark_binaryAnnotationEndpoint_emptyToNull,705777.88,710466.179,708854.285,710860.785,709303.788,709415.335,703653.15,702376.563,705961.057,700483.951,707694.61,707938.095,705056.992,705604.171,700619.641,701206.597,710932.96,700695.234,703305.919,698166.581,705197.808,708872.76,709175.771,707265.498,710639.631,710112.129,708551.531,708234.693,706003.629,700646.441,0.527927097
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_bytes,869160.775,866723.384,865857.455,863910.329,864399.073,868315.86,876351.531,866121.156,871186.044,862957.281,863698.74,862950.771,866958.001,867542.65,874300.513,872265.915,877954.616,876020.555,874525.222,865298.875,873405.648,866212.47,868581.181,870079.728,873913.446,868944.53,876312.115,869216.094,872027.795,870834.247,0.505302926
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff_littleEndian,826060.557,824137.445,831327.845,833483.041,830356.621,821279.951,826281.889,830012.916,829099.261,827758.637,830748.568,819699.152,831093,828002.606,830146.87,825715.458,818474.977,828028.447,820825.628,826817.222,823035.573,822986.961,822832.293,827314.569,828924.052,824938.837,821503.506,818450.651,824973.346,820501.484,0.504087304
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,840889.054,839937.886,840532.672,841509.253,840394.723,843075.523,840526.274,837229.068,832321.896,830924.98,837301.336,840104.944,838221.562,839982.619,841099.487,840215.398,837712.501,835559.424,835244.722,831244.729,833892.478,833276.694,827539.581,829682.13,839094.828,834973.397,836758.516,829532.101,834825.603,832781.262,0.50108899
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLong_byteBuff,822587.077,814515.063,815719.43,817615.31,821103.627,819552.405,821814.485,811427.128,812648.308,811554.709,812973.41,812907.376,817933.002,817054.129,824354.352,821477.177,823727.054,810897.955,815192.293,822082.921,814732.565,815659.61,815253.127,818287.793,815728.818,819400.795,815411.668,809353.452,817097.201,813190.167,0.496658276
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_byteBuffer_limited,801210.668,797533.991,803442.122,805022.789,800007.977,799835.402,799804.531,805612.094,803322.549,805895.541,806731.311,800890.954,796586.184,799201.512,800996.899,802764.156,809556.091,798721.491,802883.19,809050.583,803920.591,808143.085,810254.349,807722.419,804611.119,807295.719,800163.746,805367.86,805850.922,809627.993,0.479419363
