Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
io.reactivex.rxjava3.internal.jdk8.SingleFlattenStreamAsFlowableTest._Benchmark.benchmark_fusedManyRejected,4007336.168,3993500.144,3988295.576,3993375.5,4005112.828,4002945.094,4003799.575,4001139.157,4005316.837,4008894.473,3993283.465,4003174.447,4000337.649,4000986.048,4005749.217,4004089.645,4005057.654,3999468.275,3995467.672,3992831.591,3999519.739,4000779.882,3998459.02,3998725.473,4003068.938,4005346.809,4009395.885,4006817.767,3993562.488,4006829.718,0.136802431
io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatArrayTest._Benchmark.benchmark_requestBeforeComplete,3944837.196,3954036.697,3957524.532,3959628.142,3965120.436,3963859.345,3954049.037,3962897.973,3953632.854,3956389.924,3960280.486,3961359.277,3954079.588,3962515.097,3964522.302,3961523.572,3961828.179,3965060.872,3954999.616,3948185.976,3953058.792,3959566.523,3959536.811,3955772.22,3959102.807,3967077.832,3947753.131,3961521.575,3960836.374,3960966.099,0.137796517
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapSingleTest._Benchmark.benchmark_normalBackpressured,549798.143,549864.351,548178.834,550136.123,549223.757,549400.708,549597.035,550224.2,549862.721,549698.618,549535.093,550425.955,550703.954,549809.419,549588.29,549691.799,550460.667,549931.788,551306.59,550427.062,549878.72,550391.02,549992.494,551674.473,550883.946,550338.114,548768.041,551417.86,550576.359,551199.219,0.138555482
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatTest._Benchmark.benchmark_concatWithNonCompliantSourceDoubleOnComplete,2836884.166,2847944.412,2834626.101,2844538.909,2844491.245,2841999.144,2845229.045,2842610.727,2844429.899,2842911.919,2844116.907,2845733.321,2839659.685,2847618.594,2832108.304,2842398.594,2847106.234,2840275.733,2842339.545,2845724.939,2841104.901,2847812.378,2841567.077,2838555.559,2843245.637,2840395.043,2843106.021,2843006.769,2841239.666,2850539.565,0.138715016
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromIterableTest._Benchmark.benchmark_hasNextCancelsAndCompletesSlowPath,6056481.169,6069468.319,6055253.018,6075164.556,6076073.769,6071923.224,6076312.683,6075659.509,6069491.296,6065045.748,6073453.613,6076707.517,6066230.05,6064109.411,6060923.387,6067699.574,6073015.304,6068933.41,6079314.613,6069158.129,6063466.577,6066266.943,6074505.528,6066474.029,6082962.025,6059278.148,6073897.118,6043264.991,6073111.987,6056423.324,0.139186066
io.reactivex.rxjava3.flowable.FlowableReduceTests._Benchmark.benchmark_reduceInts,8351487.876,8339206.839,8343235.214,8356811.439,8342074.828,8352272.749,8356016.852,8360667.144,8344222.548,8351830.421,8336723.202,8322717.474,8321740.096,8344890.515,8338405.252,8351349.152,8336838.353,8346950.263,8350479.114,8345935.166,8346710.32,8339471.096,8346062.767,8314672.128,8345112.947,8322703.464,8367773.006,8352322.809,8339310.94,8348759.603,0.141078277
io.reactivex.rxjava3.internal.operators.flowable.FlowableRangeTest._Benchmark.benchmark_emptyRangeSendsOnCompleteEagerlyWithRequestZero,28787055.68,28840372.67,28850315.48,28734428.01,28728160.4,28868827.39,28800514.91,28784951.72,28815593.01,28769644.84,28857673.71,28828221.07,28886081.01,28835974.16,28893150.95,28796603.21,28827388.64,28802804.14,28838690.42,28812152.42,28882679.83,28828511.47,28878496.27,28869243.22,28800275.83,28831359.02,28834546.5,28822618.17,28796051.6,28827886.32,0.141359336
io.reactivex.rxjava3.internal.operators.flowable.FlowableBlockingTest._Benchmark.benchmark_blockingFirstNormal,11028403.33,10987326.9,11008977.56,10964136.36,11002903.91,11028726.86,10979195.96,10999427.07,11017378.72,11020634.62,11003425.75,10997949.42,11010770.56,11025380.41,10991601.47,10985265.55,11002895.83,10991121.59,11003598,11007949.35,11009537.16,10988590.87,11031478.66,11008805.74,10993972.37,11009022.64,11018427.66,11014643.84,11004459.07,10990910.98,0.142017623
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapSingleTest._Benchmark.benchmark_disposed,5027283.003,5026195.381,5022898.336,5012041.001,5015491.974,5014271.011,5027397.515,5017791.614,5014165.908,5027702.161,5034921.754,5021851.999,5030413.5,5018442.312,5009834.523,5020774.599,5008251.291,5011634.324,5010620.251,5009069.063,5026475.458,5023014.7,5027388.336,5019169.061,5019247.225,5021654.44,5015676.005,5019553.8,5007433.674,5022998.902,0.143860906
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromActionTest._Benchmark.benchmark_fromActionTwice,5275451.196,5288387.132,5273057.939,5278361.709,5269778.232,5268191.321,5274955.793,5278580.427,5274787.755,5282378.359,5275770.267,5260255.823,5271819.004,5287486.324,5272849.57,5268567.298,5274693.522,5274599.173,5286674.96,5264563.963,5277812.027,5277581.64,5293424.408,5271255.959,5273135.766,5279645.246,5272419.757,5282897.108,5259833.341,5272431.738,0.145353658
